Row,cum_I_q90,OB_duration_q90,peak_FTE_def_q90,cum_Res_Iso_q90,t_declare_q90,t_first_case_q90
asymp_testing_LD_0.9,27,20,8,11,22.1,7.1
asymp_testing_OB_only_LD_0.9,58,22,15.4,25,26.1,13.1
no_asymp_testing_LD_0.9,66,25,9,18,26.1,13.1
unmitigated_LD_0.9,0,0,0,0,0,0
asymp_testing_LD_0.5,30,25,8,14,22.1,7.1
asymp_testing_OB_only_LD_0.5,62,26,15.6,30,26.1,13.1
no_asymp_testing_LD_0.5,78,32,9.6,27,26.1,13.1
unmitigated_LD_0.5,0,0,0,0,0,0
asymp_testing_LD_0.0,36.5,32,7.8,20,22.1,7.1
asymp_testing_OB_only_LD_0.0,68,31,15.6,37,26.1,13.1
no_asymp_testing_LD_0.0,100,42,9.2,40,26.1,13.1
unmitigated_LD_0.0,188,0,0,0,0,0
